Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
09/03/2016,1288,1428
01/20/2016,2710,2466
07/21/2020,1813,1345
10/23/2017,4660,3220
02/13/2017,3414,2640
11/06/2012,2412,2574
01/26/2013,516,572
04/27/2020,2190,1686
09/15/2020,406,240
03/23/2014,1776,2150
01/11/2018,2172,1340
08/29/2015,668,730
12/03/2015,1948,1820
08/05/2020,1973,1370
11/11/2019,4906,2482
07/02/2018,5356,3332
05/14/2016,1494,1700
05/08/2018,6108,4178
09/16/2018,1128,1212
08/17/2017,5552,3878
09/07/2020,1453,1168
11/26/2019,4422,2236
09/10/2020,1309,830
09/06/2016,3110,2680
08/02/2020,1818,1470
08/20/2015,4026,3666
11/11/2018,1130,1110
09/14/2013,1700,1964
04/10/2014,3814,4066
11/21/2019,5412,2640
05/20/2013,4494,4804
03/15/2019,3674,2368
12/16/2018,368,336
11/22/2019,4504,2160
08/18/2014,4844,4428
04/14/2017,2674,1920
02/22/2020,1366,916
12/09/2020,726,527
01/15/2018,2586,1854
03/13/2017,2206,1502
12/13/2017,3346,2136
07/18/2017,6116,4360
11/10/2013,970,1010
11/25/2013,2548,2670
01/25/2019,3790,2364
08/25/2013,1936,2182
12/19/2016,1630,1224
05/18/2017,5026,3768
03/20/2018,4374,2932
07/06/2017,5834,4126
09/01/2015,2966,2786
11/22/2017,2248,1596
02/27/2018,2682,1812
03/04/2018,782,772
12/06/2015,488,472
06/06/2013,4580,4698
09/20/2016,4772,3786
10/18/2018,5064,3116
05/11/2018,5304,3502
10/17/2012,3192,3294
07/06/2013,2692,3152
06/05/2017,5390,3924
04/10/2013,2108,2118
01/31/2019,3952,2368
07/07/2016,3726,3126
01/22/2020,3544,1596
12/10/2015,1920,1762
07/04/2015,2392,2494
06/01/2013,1944,2536
02/03/2018,704,688
06/22/2017,5780,4242
08/23/2017,5642,3714
09/15/2019,694,642
06/08/2014,3294,3800
12/30/2018,788,708
04/10/2020,2690,2460
01/22/2016,2210,2110
06/27/2016,4838,4254
09/15/2014,3672,5228
07/23/2020,1566,1294
02/05/2016,2112,2090
07/20/2018,5132,3366
04/13/2013,720,972
02/19/2016,1630,1504
07/29/2016,4180,3696
11/12/2020,746,473
03/02/2015,3772,1376
12/26/2013,1166,1214
02/11/2019,138,64
08/21/2016,1740,1748
04/10/2019,3414,2064
10/23/2015,3180,2994
01/18/2019,3102,1826
05/07/2016,2468,3072
07/04/2020,1414,1117
08/28/2020,1766,1183
04/28/2014,3616,3900
03/06/2013,1984,2098
01/08/2020,4528,2228
10/30/2012,1646,1824
07/09/2013,4782,4850
04/12/2015,1474,1928
06/20/2019,6182,3634
11/30/2020,705,531
10/28/2012,902,1222
06/04/2017,2052,2048
05/12/2014,5410,5454
02/09/2013,974,1254
08/03/2017,4874,3320
08/13/2015,4590,4266
05/26/2017,5160,3926
12/23/2019,1982,998
07/12/2017,6066,4434
10/04/2012,3534,3416
01/01/2014,832,996
03/22/2017,2988,2306
09/23/2016,3038,2400
06/24/2013,2370,2494
12/24/2016,366,404
09/20/2019,6062,2954
10/16/2019,3800,1924
03/02/2013,1152,1314
03/29/2018,3886,2576
07/05/2019,3326,2104
11/02/2020,1279,893
08/25/2014,5008,4958
03/09/2019,1354,1304
06/11/2015,4802,4636
01/29/2015,2908,3214
11/03/2015,3396,3212
11/02/2015,3104,2944
01/05/2018,2234,1498
08/14/2020,1762,1774
06/24/2017,2526,2366
09/17/2018,5372,3330
11/14/2017,3056,1908
12/06/2014,848,956
07/03/2019,5020,2976
01/19/2019,1044,908
04/08/2013,2710,2668
03/10/2019,1460,1476
01/04/2016,1882,1720
09/23/2015,4584,4540
06/16/2015,4762,4340
04/29/2016,3028,2854
01/02/2017,618,628
04/01/2016,3976,3856
07/12/2019,6442,3914
09/21/2019,2824,2472
07/19/2015,1892,2034
11/12/2019,4490,2168
01/15/2013,2002,2130
02/13/2016,640,706
07/13/2017,4438,3498
12/18/2015,1732,1684
04/12/2017,2054,1584
07/01/2015,4678,4624
01/21/2019,2482,1600
10/12/2012,1978,2044
09/26/2014,2350,2672
11/02/2013,652,688
08/13/2016,1888,1894
07/01/2020,1217,824
03/12/2013,1972,1988
04/22/2018,2074,2096
05/05/2015,2564,2646
05/25/2018,4974,3116
10/24/2016,3306,2686
02/17/2018,774,762
02/15/2013,2196,2412
03/07/2017,2008,1446
10/21/2012,898,1080
08/29/2013,2290,2460
07/29/2015,4914,4554
05/27/2020,1862,1585
08/02/2015,1860,1906
08/01/2020,1629,1481
07/10/2018,6160,4044
05/27/2015,4692,4850
12/25/2020,143,109
01/30/2018,3432,2324
11/04/2013,3028,3088
08/19/2018,2008,1882
11/19/2012,984,950
03/20/2019,6028,3634
02/08/2014,710,880
10/01/2014,3326,4348
08/26/2014,5648,5454
06/23/2017,4896,3710
10/03/2016,4156,3274
06/19/2018,6744,4222
08/25/2018,1470,1194
06/04/2015,4626,4648
02/03/2013,782,954
07/02/2020,1302,938
12/04/2016,860,972
09/26/2017,5466,3832
09/10/2019,5366,2980
05/06/2019,6630,3862
08/30/2018,4574,2778
12/17/2012,1490,1494
05/19/2013,1900,2372
02/14/2013,1808,1960
06/26/2019,6282,3782
12/16/2017,800,812
08/15/2015,1744,1660
05/08/2017,5044,3730
02/21/2020,4218,2118
10/08/2017,1366,1412
04/11/2018,2958,1896
01/26/2017,2808,2228
10/16/2020,941,680
11/08/2017,3474,2284
01/17/2015,548,636
12/06/2018,3266,1918
11/18/2015,2992,2862
04/14/2014,3914,4098
07/15/2015,4852,4520
05/16/2018,6204,4276
11/16/2013,1032,1210
06/29/2017,5510,3976
08/30/2015,1082,1344
01/19/2018,2726,1776
01/11/2013,1532,1608
02/23/2016,3320,3252
04/28/2016,4042,3698
11/27/2013,2164,2338
09/19/2020,959,763
01/17/2019,3372,1996
03/30/2014,1084,1556
12/27/2014,524,562
01/25/2017,2552,2132
04/23/2016,1472,1870
11/07/2015,530,520
10/24/2020,986,677
01/18/2016,1688,1728
01/19/2017,2194,1696
07/24/2018,6706,4194
